IQ-TREE multicore version 2.2.2.7.modelmix COVID-edition for Mac OS X 64-bit built Jul 13 2023
Developed by Bui Quang Minh, James Barbetti, Nguyen Lam Tung,
Olga Chernomor, Heiko Schmidt, Dominik Schrempf, Michael Woodhams, Ly Trong Nhan.

Host:    baiyilindeMacBook-Air.local (SSE4.2, 8 GB RAM)
Command: /Users/lindsaybai/Desktop/BIOL8706/iqtree-2.2.2.7.modelmix-MacOSX/bin/iqtree2 -s /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta -m ESTMIXNUM -mrate E,I,G,I+G,R,I+R -opt_qmix_criteria 1
Seed:    203894 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Sun Aug 13 18:21:13 2023
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta ... Fasta format detected
Reading fasta file: done in 0.0006001 secs using 70.82% CPU
Alignment most likely contains DNA/RNA sequences
Constructing alignment: done in 0.00103307 secs using 73.18% CPU
Alignment has 23 sequences with 909 columns, 412 distinct patterns
365 parsimony-informative, 70 singleton sites, 474 constant sites
                      Gap/Ambiguity  Composition  p-value
Analyzing sequences: done in 3.00407e-05 secs using 69.91% CPU
   1  6810_C_talismani        0.00%    passed     19.76%
   2  6934_R_robusta          0.00%    passed     32.84%
   3  7031_S_tenuiremis       0.00%    passed      5.88%
   4  7188_A_sargassi         0.33%    failed      0.15%
   5  7200_P_grandis          0.00%    passed      6.94%
   6  7283_R_regalis          3.96%    passed     88.35%
   7  7319_P_armatus          0.33%    passed     60.82%
   8  7455_G_splendens        0.00%    failed      0.99%
   9  7934_R_robusta          0.00%    passed     34.16%
  10  8011_E_arcticus         0.33%    passed     45.17%
  11  8243_N_edwardsii        0.33%    passed     92.58%
  12  8248_P_vigilax          1.32%    failed      0.66%
  13  8251_A_pectinatus       0.33%    passed     59.87%
  14  8254_S_atlanticus       0.33%    failed      3.79%
  15  8262_D_paraseminudus    0.00%    passed     32.27%
  16  8263_D_seminudus        0.00%    passed     31.04%
  17  8265_G_inequalis        0.99%    passed     67.39%
  18  8267_L_lucens           0.00%    passed     28.38%
  19  8270_S_aff_inermis      1.32%    failed      0.34%
  20  8292_D_paraseminudus    0.00%    passed     23.38%
  21  8315_A_pectinatus       0.33%    passed     12.25%
  22  8509_A_japonicus        0.00%    passed     20.09%
  23  8409_R_robusta          0.00%    passed     39.39%
****  TOTAL                   0.43%  5 sequences failed composition chi2 test (p-value<5%; df=3)
Checking for duplicate sequences: done in 5.79357e-05 secs using 77.67% CPU
--------------------------------------------------------------------
|                Optimizing Q-mixture model                        |
--------------------------------------------------------------------


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.002 seconds
Perform fast likelihood tree search using GTR+I+G model...
Estimate model parameters (epsilon = 5.000)
Perform nearest neighbor interchange...
Optimizing NNI: done in 0.013711 secs using 90.92% CPU
Estimate model parameters (epsilon = 1.000)
1. Initial log-likelihood: -7651.203
2. Current log-likelihood: -7648.259
3. Current log-likelihood: -7645.297
4. Current log-likelihood: -7644.051
Optimal log-likelihood: -7642.755
Rate parameters:  A-C: 2.40814  A-G: 48.93556  A-T: 3.66251  C-G: 15.99838  C-T: 99.68359  G-T: 1.00000
Base frequencies:  A: 0.271  C: 0.134  G: 0.192  T: 0.404
Proportion of invariable sites: 0.364
Gamma shape alpha: 0.363
Parameters optimization took 4 rounds (0.074 sec)
Setting up auxiliary I and S matrices: done in 3.00407e-05 secs using 76.56% CPU
Constructing RapidNJ tree: done in 5.6982e-05 secs using 89.5% CPU
Computing RapidNJ tree took 0.000115 sec (of wall-clock time) 0.000092 sec (of CPU time)
Log-likelihood of RapidNJ tree: -7628.896
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.095 second
Computing log-likelihood of 98 initial trees ... 0.178 seconds
Current best score: -7612.112

Do NNI search on 20 best initial trees
Optimizing NNI: done in 0.00617599 secs using 99.95% CPU
Estimate model parameters (epsilon = 0.100)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

BETTER TREE FOUND at iteration 1: -7612.101
Optimizing NNI: done in 0.0317659 secs using 99.93% CPU
Estimate model parameters (epsilon = 0.100)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

BETTER TREE FOUND at iteration 2: -7607.532
Optimizing NNI: done in 0.0362809 secs using 99.98% CPU
Optimizing NNI: done in 0.03848 secs using 99.99% CPU
Optimizing NNI: done in 0.0479581 secs using 99.99% CPU
Optimizing NNI: done in 0.0385361 secs using 99.97% CPU
Optimizing NNI: done in 0.0393069 secs using 99.99% CPU
Estimate model parameters (epsilon = 0.100)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

BETTER TREE FOUND at iteration 7: -7603.988
Optimizing NNI: done in 0.0416641 secs using 99.99% CPU
UPDATE BEST LOG-LIKELIHOOD: -7603.979
Optimizing NNI: done in 0.0416341 secs using 99.99% CPU
Optimizing NNI: done in 0.0466189 secs using 99.99% CPU
Iteration 10 / LogL: -7607.832 / Time: 0h:1m:12s
Optimizing NNI: done in 0.046659 secs using 99.97% CPU
Optimizing NNI: done in 0.0489981 secs using 99.99% CPU
Optimizing NNI: done in 0.041708 secs using 99.95% CPU
Optimizing NNI: done in 0.0404611 secs using 99.98% CPU
Optimizing NNI: done in 0.0381191 secs using 99.99% CPU
Optimizing NNI: done in 0.0499461 secs using 99.98% CPU
Estimate model parameters (epsilon = 0.100)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

BETTER TREE FOUND at iteration 16: -7603.481
Optimizing NNI: done in 0.048624 secs using 99.97% CPU
UPDATE BEST LOG-LIKELIHOOD: -7603.475
Optimizing NNI: done in 0.0402901 secs using 99.98% CPU
Optimizing NNI: done in 0.040499 secs using 99.99% CPU
Optimizing NNI: done in 0.0382659 secs using 99.98% CPU
Iteration 20 / LogL: -7607.819 / Time: 0h:1m:12s
Finish initializing candidate tree set (8)
Current best tree score: -7603.475 / CPU time: 1.255
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Optimizing NNI: done in 0.02878 secs using 99.98% CPU
Optimizing NNI: done in 0.042686 secs using 99.98% CPU
Optimizing NNI: done in 0.0438151 secs using 99.99% CPU
Optimizing NNI: done in 0.0284522 secs using 99.98% CPU
Optimizing NNI: done in 0.0333459 secs using 99.98% CPU
Optimizing NNI: done in 0.0387881 secs using 99.99% CPU
Optimizing NNI: done in 0.032964 secs using 99.98% CPU
Optimizing NNI: done in 0.0392301 secs using 99.99% CPU
Optimizing NNI: done in 0.0328629 secs using 99.99% CPU
BETTER TREE FOUND at iteration 29: -7603.474
Optimizing NNI: done in 0.0308788 secs using 99.98% CPU
Iteration 30 / LogL: -7605.828 / Time: 0h:1m:13s (0h:0m:12s left)
Optimizing NNI: done in 0.0278239 secs using 99.96% CPU
Optimizing NNI: done in 0.0422068 secs using 99.98% CPU
Optimizing NNI: done in 0.0242949 secs using 99.98% CPU
Optimizing NNI: done in 0.0383201 secs using 99.98% CPU
Optimizing NNI: done in 0.059145 secs using 99.98% CPU
Optimizing NNI: done in 0.028554 secs using 99.98% CPU
Optimizing NNI: done in 0.0324249 secs using 99.99% CPU
Optimizing NNI: done in 0.043699 secs using 99.97% CPU
Optimizing NNI: done in 0.0265498 secs using 99.99% CPU
Optimizing NNI: done in 0.0260251 secs using 99.99% CPU
Iteration 40 / LogL: -7603.959 / Time: 0h:1m:13s (0h:0m:9s left)
Optimizing NNI: done in 0.0495601 secs using 99.98% CPU
Optimizing NNI: done in 0.044739 secs using 99.99% CPU
UPDATE BEST LOG-LIKELIHOOD: -7603.474
Optimizing NNI: done in 0.0363948 secs using 99.98% CPU
Optimizing NNI: done in 0.0404389 secs using 99.97% CPU
Optimizing NNI: done in 0.0359941 secs using 99.96% CPU
Optimizing NNI: done in 0.0228739 secs using 99.99% CPU
Optimizing NNI: done in 0.0315919 secs using 99.98% CPU
Optimizing NNI: done in 0.03251 secs using 99.98% CPU
Optimizing NNI: done in 0.0482399 secs using 99.98% CPU
UPDATE BEST LOG-LIKELIHOOD: -7603.474
Optimizing NNI: done in 0.047549 secs using 99.99% CPU
Iteration 50 / LogL: -7604.627 / Time: 0h:1m:14s (0h:0m:7s left)
Optimizing NNI: done in 0.030906 secs using 99.98% CPU
Optimizing NNI: done in 0.030484 secs using 99.98% CPU
Optimizing NNI: done in 0.0320449 secs using 99.97% CPU
Optimizing NNI: done in 0.028069 secs using 99.98% CPU
Optimizing NNI: done in 0.0362151 secs using 99.99% CPU
Optimizing NNI: done in 0.0541179 secs using 99.99% CPU
Optimizing NNI: done in 0.0244989 secs using 99.97% CPU
Optimizing NNI: done in 0.0295191 secs using 99.97% CPU
Optimizing NNI: done in 0.038969 secs using 99.98% CPU
Optimizing NNI: done in 0.034245 secs using 99.99% CPU
Iteration 60 / LogL: -7605.089 / Time: 0h:1m:14s (0h:0m:5s left)
Optimizing NNI: done in 0.0443618 secs using 99.93% CPU
Optimizing NNI: done in 0.0357749 secs using 99.96% CPU
Optimizing NNI: done in 0.0423131 secs using 99.98% CPU
Optimizing NNI: done in 0.0340688 secs using 99.97% CPU
Optimizing NNI: done in 0.0290341 secs using 99.98% CPU
Optimizing NNI: done in 0.064117 secs using 99.98% CPU
Optimizing NNI: done in 0.0321929 secs using 99.98% CPU
Optimizing NNI: done in 0.049515 secs using 99.97% CPU
Optimizing NNI: done in 0.038044 secs using 99.98% CPU
Optimizing NNI: done in 0.0299709 secs using 99.97% CPU
Iteration 70 / LogL: -7603.475 / Time: 0h:1m:14s (0h:0m:4s left)
Optimizing NNI: done in 0.0286641 secs using 99.98% CPU
Optimizing NNI: done in 0.0440321 secs using 99.98% CPU
Optimizing NNI: done in 0.0474291 secs using 99.99% CPU
Optimizing NNI: done in 0.0293541 secs using 99.98% CPU
Optimizing NNI: done in 0.0233061 secs using 99.98% CPU
Optimizing NNI: done in 0.0275822 secs using 99.99% CPU
Optimizing NNI: done in 0.034004 secs using 99.99% CPU
Optimizing NNI: done in 0.0357511 secs using 99.99% CPU
Optimizing NNI: done in 0.0412781 secs using 99.96% CPU
UPDATE BEST LOG-LIKELIHOOD: -7603.474
Optimizing NNI: done in 0.0239542 secs using 99.97% CPU
Iteration 80 / LogL: -7603.934 / Time: 0h:1m:15s (0h:0m:3s left)
Optimizing NNI: done in 0.032537 secs using 99.99% CPU
Optimizing NNI: done in 0.0246611 secs using 99.99% CPU
Optimizing NNI: done in 0.049623 secs using 99.98% CPU
Optimizing NNI: done in 0.028363 secs using 99.97% CPU
Optimizing NNI: done in 0.0357399 secs using 99.98% CPU
Optimizing NNI: done in 0.0332429 secs using 99.99% CPU
Optimizing NNI: done in 0.0345919 secs using 99.97% CPU
Optimizing NNI: done in 0.042182 secs using 99.97% CPU
Optimizing NNI: done in 0.040153 secs using 99.98% CPU
Optimizing NNI: done in 0.037003 secs using 99.99% CPU
Iteration 90 / LogL: -7603.475 / Time: 0h:1m:15s (0h:0m:2s left)
Optimizing NNI: done in 0.027108 secs using 99.99% CPU
Optimizing NNI: done in 0.039175 secs using 99.98% CPU
Optimizing NNI: done in 0.0480931 secs using 99.99% CPU
Optimizing NNI: done in 0.043294 secs using 99.98% CPU
Optimizing NNI: done in 0.0331731 secs using 99.98% CPU
Optimizing NNI: done in 0.048681 secs using 99.98% CPU
Optimizing NNI: done in 0.062865 secs using 99.97% CPU
Optimizing NNI: done in 0.0384161 secs using 99.98% CPU
Optimizing NNI: done in 0.0135329 secs using 99.99% CPU
Optimizing NNI: done in 0.0458822 secs using 99.98% CPU
Iteration 100 / LogL: -7606.846 / Time: 0h:1m:15s (0h:0m:1s left)
Optimizing NNI: done in 0.0232339 secs using 99.98% CPU
Optimizing NNI: done in 0.0283942 secs using 99.99% CPU
Optimizing NNI: done in 0.036387 secs using 99.98% CPU
Optimizing NNI: done in 0.0295129 secs using 99.98% CPU
Optimizing NNI: done in 0.0345011 secs using 99.97% CPU
Optimizing NNI: done in 0.0409951 secs using 99.99% CPU
Optimizing NNI: done in 0.05286 secs using 99.99% CPU
Optimizing NNI: done in 0.026005 secs using 99.97% CPU
Optimizing NNI: done in 0.0449438 secs using 99.99% CPU
Optimizing NNI: done in 0.0410671 secs using 99.96% CPU
Iteration 110 / LogL: -7604.514 / Time: 0h:1m:16s (0h:0m:1s left)
Optimizing NNI: done in 0.0339839 secs using 99.98% CPU
Optimizing NNI: done in 0.0312951 secs using 99.99% CPU
Optimizing NNI: done in 0.0227101 secs using 99.98% CPU
Optimizing NNI: done in 0.024051 secs using 99.98% CPU
Optimizing NNI: done in 0.0295498 secs using 99.97% CPU
Optimizing NNI: done in 0.022676 secs using 99.99% CPU
Optimizing NNI: done in 0.035476 secs using 99.98% CPU
Optimizing NNI: done in 0.029969 secs using 99.99% CPU
Optimizing NNI: done in 0.0501029 secs using 99.98% CPU
Optimizing NNI: done in 0.0412679 secs using 99.97% CPU
Iteration 120 / LogL: -7603.475 / Time: 0h:1m:16s (0h:0m:0s left)
Optimizing NNI: done in 0.047636 secs using 99.98% CPU
Optimizing NNI: done in 0.0502901 secs using 99.98% CPU
Optimizing NNI: done in 0.0342581 secs using 99.97% CPU
Optimizing NNI: done in 0.0438392 secs using 99.99% CPU
Optimizing NNI: done in 0.041461 secs using 99.99% CPU
Optimizing NNI: done in 0.036787 secs using 99.98% CPU
Optimizing NNI: done in 0.0390871 secs using 99.97% CPU
Optimizing NNI: done in 0.0266562 secs using 99.98% CPU
Optimizing NNI: done in 0.0310929 secs using 99.98% CPU
Optimizing NNI: done in 0.024107 secs using 99.98% CPU
Iteration 130 / LogL: -7604.120 / Time: 0h:1m:17s (0h:0m:-1s left)
TREE SEARCH COMPLETED AFTER 130 ITERATIONS / Time: 0h:1m:17s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -7603.474
2. Current log-likelihood: -7603.445
3. Current log-likelihood: -7603.428
4. Current log-likelihood: -7603.413
5. Current log-likelihood: -7603.401
6. Current log-likelihood: -7603.391
Optimal log-likelihood: -7603.378
Rate parameters:  A-C: 1.92916  A-G: 25.74740  A-T: 0.75664  C-G: 10.61531  C-T: 100.00000  G-T: 1.00000
Warning! Some parameters hit the boundaries
Base frequencies:  A: 0.321  C: 0.106  G: 0.162  T: 0.411
Proportion of invariable sites: 0.449
Gamma shape alpha: 0.435
Parameters optimization took 6 rounds (0.246 sec)

WARNING: Estimated model parameters are at boundary that can cause numerical instability!

BEST SCORE FOUND : -7603.378
Total tree length: 21.540

Total number of iterations: 130
CPU time used for tree search: 5.474 sec (0h:0m:5s)
Wall-clock time used for tree search: 5.310 sec (0h:0m:5s)
Total CPU time used: 77.381 sec (0h:1m:17s)
Total wall-clock time used: 77.278 sec (0h:1m:17s)

Model: GTR+FO+I+G4; df: 53; loglike: -7603.378; BIC score: 15567.811

Keep adding an additional class until the p-value from the likelihood ratio test > 0.050

NOTE: Restoring information from model checkpoint file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 22 DNA models (sample size: 909) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  MIX{GTR+FO,GTR+FO}+I+G4 7522.356     62  15168.713    15177.947    15467.078
  2  MIX{GTR+FO,SYM+FO}+I+G4 7585.228     59  15288.456    15296.795    15572.384
  3  MIX{GTR+FO,TVM+FO}+I+G4 7535.625     61  15193.250    15202.181    15486.803
  4  MIX{GTR+FO,TVMe+FO}+I+G4 7583.591     58  15283.182    15291.233    15562.298
  5  MIX{GTR+FO,TIM3+FO}+I+G4 7524.951     60  15169.902    15178.534    15458.643
  6  MIX{GTR+FO,TIM3e+FO}+I+G4 7588.441     57  15290.882    15298.652    15565.186
  7  MIX{GTR+FO,TIM2+FO}+I+G4 7521.699     60  15163.398    15172.030    15452.139
  8  MIX{GTR+FO,TIM2e+FO}+I+G4 7584.752     57  15283.504    15291.273    15557.807
  9  MIX{GTR+FO,TIM+FO}+I+G4 7522.581     60  15165.161    15173.793    15453.902
 10  MIX{GTR+FO,TIMe+FO}+I+G4 7607.443     57  15328.887    15336.657    15603.191
 11  MIX{GTR+FO,TPM3u+FO}+I+G4 7535.754     59  15189.507    15197.847    15473.436
 12  MIX{GTR+FO,TPM3+FO}+I+G4 7597.785     56  15307.571    15315.064    15577.062
 13  MIX{GTR+FO,TPM2u+FO}+I+G4 7535.437     59  15188.873    15197.213    15472.802
 14  MIX{GTR+FO,TPM2+FO}+I+G4 7587.071     56  15286.141    15293.634    15555.632
 15  MIX{GTR+FO,K81u+FO}+I+G4 7535.679     59  15189.358    15197.698    15473.287
 16  MIX{GTR+FO,K81+FO}+I+G4 7596.924     56  15305.847    15313.340    15575.339
 17  MIX{GTR+FO,TN+FO}+I+G4 7524.533     59  15167.066    15175.405    15450.995
 18  MIX{GTR+FO,TNe+FO}+I+G4 7578.868     56  15269.735    15277.228    15539.227
 19  MIX{GTR+FO,HKY+FO}+I+G4 7535.818     58  15187.636    15195.688    15466.752
 20  MIX{GTR+FO,K80+FO}+I+G4 7579.049     55  15268.098    15275.319    15532.777
 21  MIX{GTR+FO,F81+FO}+I+G4 7556.121     57  15226.242    15234.012    15500.546
 22  MIX{GTR+FO,JC+FO}+I+G4 7588.553     54  15285.105    15292.061    15544.972
Best-fit model: MIX{GTR+FO,TN+FO}+I+G4 chosen according to BIC

All model information printed to /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
CPU time for ModelFinder: 23.667 seconds (0h:0m:23s)
Wall-clock time for ModelFinder: 23.675 seconds (0h:0m:23s)

Model: MIX{GTR+FO,TN+FO}+I+G4; df: 59; loglike: -7524.533; BIC score: 15450.995; pvalue: 0.000; 

NOTE: Restoring information from model checkpoint file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 22 DNA models (sample size: 909) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  MIX{GTR+FO,TN+FO,GTR+FO}+I+G4 7512.429     68  15160.859    15172.030    15488.098
  2  MIX{GTR+FO,TN+FO,SYM+FO}+I+G4 7515.677     65  15161.354    15171.532    15474.157
  3  MIX{GTR+FO,TN+FO,TVM+FO}+I+G4 7500.547     67  15135.094    15145.929    15457.521
  4  MIX{GTR+FO,TN+FO,TVMe+FO}+I+G4 7515.145     64  15158.289    15168.147    15466.280
  5  MIX{GTR+FO,TN+FO,TIM3+FO}+I+G4 7499.813     66  15131.627    15142.130    15449.242
  6  MIX{GTR+FO,TN+FO,TIM3e+FO}+I+G4 7513.142     63  15152.283    15161.826    15455.461
  7  MIX{GTR+FO,TN+FO,TIM2+FO}+I+G4 7499.206     66  15130.412    15140.915    15448.026
  8  MIX{GTR+FO,TN+FO,TIM2e+FO}+I+G4 7523.991     63  15173.981    15183.525    15477.159
  9  MIX{GTR+FO,TN+FO,TIM+FO}+I+G4 7495.430     66  15122.860    15133.364    15440.475
 10  MIX{GTR+FO,TN+FO,TIMe+FO}+I+G4 7503.585     63  15133.171    15142.714    15436.349
 11  MIX{GTR+FO,TN+FO,TPM3u+FO}+I+G4 7495.774     65  15121.548    15131.726    15434.351
 12  MIX{GTR+FO,TN+FO,TPM3+FO}+I+G4 7514.192     62  15152.385    15161.619    15450.750
 13  MIX{GTR+FO,TN+FO,TPM2u+FO}+I+G4 7498.066     65  15126.133    15136.311    15438.935
 14  MIX{GTR+FO,TN+FO,TPM2+FO}+I+G4 7518.432     62  15160.863    15170.097    15459.229
 15  MIX{GTR+FO,TN+FO,K81u+FO}+I+G4 7498.066     65  15126.133    15136.311    15438.935
 16  MIX{GTR+FO,TN+FO,K81+FO}+I+G4 7518.432     62  15160.863    15170.097    15459.229
 17  MIX{GTR+FO,TN+FO,TN+FO}+I+G4 7498.066     65  15126.133    15136.311    15438.935
 18  MIX{GTR+FO,TN+FO,TNe+FO}+I+G4 7518.432     62  15160.863    15170.097    15459.229
 19  MIX{GTR+FO,TN+FO,HKY+FO}+I+G4 7498.066     64  15124.133    15133.991    15432.123
 20  MIX{GTR+FO,TN+FO,K80+FO}+I+G4 7518.412     61  15158.824    15167.754    15452.377
 21  MIX{GTR+FO,TN+FO,F81+FO}+I+G4 7504.728     63  15135.456    15145.000    15438.634
 22  MIX{GTR+FO,TN+FO,JC+FO}+I+G4 7519.625     60  15159.250    15167.882    15447.991
Best-fit model: MIX{GTR+FO,TN+FO,HKY+FO}+I+G4 chosen according to BIC

All model information printed to /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
CPU time for ModelFinder: 27.312 seconds (0h:0m:27s)
Wall-clock time for ModelFinder: 27.322 seconds (0h:0m:27s)

Model: MIX{GTR+FO,TN+FO,HKY+FO}+I+G4; df: 64; loglike: -7498.066; BIC score: 15432.123; pvalue: 0.000; 

NOTE: Restoring information from model checkpoint file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 22 DNA models (sample size: 909) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  MIX{GTR+FO,TN+FO,HKY+FO,GTR+FO}+I+G4 7491.713     73  15129.427    15142.366    15480.728
  2  MIX{GTR+FO,TN+FO,HKY+FO,SYM+FO}+I+G4 7501.464     70  15142.928    15154.790    15479.793
  3  MIX{GTR+FO,TN+FO,HKY+FO,TVM+FO}+I+G4 7487.774     72  15119.548    15132.123    15466.037
  4  MIX{GTR+FO,TN+FO,HKY+FO,TVMe+FO}+I+G4 7485.789     69  15109.578    15121.092    15441.630
  5  MIX{GTR+FO,TN+FO,HKY+FO,TIM3+FO}+I+G4 7487.149     71  15116.298    15128.513    15457.975
  6  MIX{GTR+FO,TN+FO,HKY+FO,TIM3e+FO}+I+G4 7492.303     68  15120.607    15131.778    15447.846
  7  MIX{GTR+FO,TN+FO,HKY+FO,TIM2+FO}+I+G4 7484.586     71  15111.172    15123.387    15452.849
  8  MIX{GTR+FO,TN+FO,HKY+FO,TIM2e+FO}+I+G4 7489.312     68  15114.624    15125.795    15441.863
  9  MIX{GTR+FO,TN+FO,HKY+FO,TIM+FO}+I+G4 7488.098     71  15118.195    15130.410    15459.872
 10  MIX{GTR+FO,TN+FO,HKY+FO,TIMe+FO}+I+G4 7493.993     68  15123.985    15135.157    15451.225
 11  MIX{GTR+FO,TN+FO,HKY+FO,TPM3u+FO}+I+G4 7487.152     70  15114.305    15126.166    15451.169
 12  MIX{GTR+FO,TN+FO,HKY+FO,TPM3+FO}+I+G4 7492.303     67  15118.607    15129.442    15441.034
 13  MIX{GTR+FO,TN+FO,HKY+FO,TPM2u+FO}+I+G4 7484.578     70  15109.156    15121.017    15446.020
 14  MIX{GTR+FO,TN+FO,HKY+FO,TPM2+FO}+I+G4 7489.979     67  15113.958    15124.792    15436.385
 15  MIX{GTR+FO,TN+FO,HKY+FO,K81u+FO}+I+G4 7488.751     70  15117.503    15129.364    15454.367
 16  MIX{GTR+FO,TN+FO,HKY+FO,K81+FO}+I+G4 7494.414     67  15122.827    15133.662    15445.254
 17  MIX{GTR+FO,TN+FO,HKY+FO,TN+FO}+I+G4 7485.328     70  15110.655    15122.517    15447.519
 18  MIX{GTR+FO,TN+FO,HKY+FO,TNe+FO}+I+G4 7489.887     67  15113.774    15124.609    15436.202
 19  MIX{GTR+FO,TN+FO,HKY+FO,HKY+FO}+I+G4 7488.433     69  15114.866    15126.380    15446.918
 20  MIX{GTR+FO,TN+FO,HKY+FO,K80+FO}+I+G4 7496.294     66  15124.589    15135.092    15442.203
 21  MIX{GTR+FO,TN+FO,HKY+FO,F81+FO}+I+G4 7488.546     68  15113.092    15124.264    15440.332
 22  MIX{GTR+FO,TN+FO,HKY+FO,JC+FO}+I+G4 7496.446     65  15122.892    15133.070    15435.695
Best-fit model: MIX{GTR+FO,TN+FO,HKY+FO,JC+FO}+I+G4 chosen according to BIC

All model information printed to /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
CPU time for ModelFinder: 40.632 seconds (0h:0m:40s)
Wall-clock time for ModelFinder: 40.651 seconds (0h:0m:40s)

Model: MIX{GTR+FO,TN+FO,HKY+FO,JC+FO}+I+G4; df: 65; loglike: -7496.446; BIC score: 15435.695; pvalue: 0.072; 

NOTE: Restoring information from model checkpoint file /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
NOTE: ModelFinder requires 1 MB RAM!
ModelFinder will test up to 22 DNA models (sample size: 909) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  MIX{GTR+FO,TN+FO,HKY+FO} 7781.822     62  15687.644    15696.878    15986.010
  2  MIX{GTR+FO,TN+FO,HKY+FO}+I 7559.880     63  15245.761    15255.304    15548.939
  3  MIX{GTR+FO,TN+FO,HKY+FO}+G 7528.999     63  15183.998    15193.541    15487.176
  4  MIX{GTR+FO,TN+FO,HKY+FO}+I+G 7495.344     64  15118.687    15128.545    15426.677
  5  MIX{GTR+FO,TN+FO,HKY+FO}+R2 7712.087     64  15552.174    15562.032    15860.164
  6  MIX{GTR+FO,TN+FO,HKY+FO}+R3 7542.829     66  15217.657    15228.161    15535.272
  7  MIX{GTR+FO,TN+FO,HKY+FO}+R4 7521.119     68  15178.238    15189.410    15505.478
  8  MIX{GTR+FO,TN+FO,HKY+FO}+R5 7499.908     70  15139.815    15151.677    15476.679
  9  MIX{GTR+FO,TN+FO,HKY+FO}+R6 7495.949     72  15135.899    15148.473    15482.388
 14  MIX{GTR+FO,TN+FO,HKY+FO}+I+R2 7509.121     65  15148.241    15158.419    15461.044
 15  MIX{GTR+FO,TN+FO,HKY+FO}+I+R3 7490.592     67  15115.184    15126.019    15437.612
 16  MIX{GTR+FO,TN+FO,HKY+FO}+I+R4 7488.676     69  15115.351    15126.865    15447.403
Best-fit model: MIX{GTR+FO,TN+FO,HKY+FO}+I+G chosen according to BIC

All model information printed to /Users/lindsaybai/Desktop/BIOL8706/one_gene_mixture/nad1alignment.fasta.model.gz
CPU time for ModelFinder: 73.531 seconds (0h:1m:13s)
Wall-clock time for ModelFinder: 73.593 seconds (0h:1m:13s)
-------------------------------------------------------
  Best-fit Q-Mixture model: MIX{GTR+FO,TN+FO,HKY+FO}+I+G
-------------------------------------------------------

Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds

NOTE: 3 MB RAM (0 GB) is required!
CHECKPOINT: Model parameters restored, LogL: -7497.948
Wrote distance file to... 
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
CHECKPOINT: Candidate tree set restored, best LogL: -7497.948
Finish initializing candidate tree set (20)
Current best tree score: -7497.948 / CPU time: 0.000
Number of iterations: 0
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Optimizing NNI: done in 0.150942 secs using 99.97% CPU
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -7477.488
Optimizing NNI: done in 0.154086 secs using 99.98% CPU
Optimizing NNI: done in 0.144513 secs using 99.98% CPU
Estimate model parameters (epsilon = 0.100)
